nu,gamma,pr_auc,roc_auc,f1
0.005,scale,0.0045217382091140715,0.5134177962307743,0.0
0.005,0.05,0.0023387092175217506,0.22396302989230582,0.002890173410404624
0.005,0.1,0.0032719683490106963,0.4207995142848047,0.0
0.005,0.2,0.0067738735163020754,0.5645968515124252,0.012759170653907496
0.01,scale,0.004569707851946294,0.5312286535255506,0.0035810205908683975
0.01,0.05,0.0023476817602955343,0.22384028183870847,0.0020387359836901123
0.01,0.1,0.003387574084731412,0.4422583978453702,0.0018674136321195146
0.01,0.2,0.006414656464090033,0.5626271467645133,0.011967090501121914
