threshold,alerts,caught,recall
0.6888300478193796,1,0,0.0
0.5911875644700901,331,1,0.0037735849056603774
0.5689131848133736,661,2,0.007547169811320755
0.5502102846880036,991,3,0.011320754716981131
0.537102908277048,1322,4,0.01509433962264151
0.5269546110913964,1652,7,0.026415094339622643
0.5200979205902296,1982,16,0.06037735849056604
0.5146768510383858,2312,19,0.07169811320754717
0.5098244588178886,2643,22,0.0830188679245283
0.5058793157651127,2973,31,0.1169811320754717
0.5019978357095628,3303,36,0.13584905660377358
0.49900967678763125,3633,46,0.17358490566037735
0.4961492023352216,3964,50,0.18867924528301888
0.49375600727112184,4294,54,0.2037735849056604
0.49132625218151593,4624,61,0.23018867924528302
0.4888873455444749,4954,70,0.2641509433962264
0.4865923773362159,5285,74,0.2792452830188679
0.4847034877864039,5615,78,0.2943396226415094
0.4827455005367623,5945,81,0.30566037735849055
0.4805717444991581,6276,86,0.32452830188679244
0.4785430363169682,6606,90,0.33962264150943394
0.4766988397817186,6936,92,0.3471698113207547
0.4746757898848922,7266,99,0.37358490566037733
0.4727114162221258,7597,104,0.39245283018867927
0.47089353546929463,7927,107,0.4037735849056604
0.4691865526478875,8257,110,0.41509433962264153
0.46741152776946704,8587,117,0.44150943396226416
0.4656998699691842,8918,124,0.4679245283018868
0.46413371383151075,9248,129,0.4867924528301887
0.4626295931646478,9578,132,0.4981132075471698
0.4610511941340089,9908,138,0.5207547169811321
0.4595100327862361,10239,141,0.5320754716981132
0.45799181716651205,10569,144,0.5433962264150943
0.4563557684769356,10899,147,0.5547169811320755
0.45477941627568014,11230,152,0.5735849056603773
0.4531636940221229,11560,156,0.5886792452830188
0.4514719471992353,11890,159,0.6
0.4497479822254829,12220,164,0.6188679245283019
0.44819435235231037,12551,170,0.6415094339622641
0.4465974463617663,12881,177,0.6679245283018868
0.4449657019354645,13211,180,0.6792452830188679
