threshold,alerts,caught,recall
0.20509611742976638,1,0,0.0
0.14680302944800505,331,0,0.0
0.10455774257817181,661,10,0.03773584905660377
0.07683470493564847,991,20,0.07547169811320754
0.05856051375435307,1322,29,0.10943396226415095
0.04561697428391228,1652,35,0.1320754716981132
0.03698754560852459,1982,41,0.15471698113207547
0.02871744870747441,2312,49,0.18490566037735848
0.022105643270385326,2643,56,0.21132075471698114
0.016842540498575448,2973,58,0.2188679245283019
0.012656819410137115,3303,62,0.2339622641509434
0.008767901803697332,3633,64,0.24150943396226415
0.005533272583602029,3964,67,0.2528301886792453
0.002724737578221685,4294,70,0.2641509433962264
0.0004598649305812491,4624,77,0.29056603773584905
-0.0013747815893620779,4954,78,0.2943396226415094
-0.00276510761009529,5285,81,0.30566037735849055
-0.004111514593548226,5615,82,0.30943396226415093
-0.0052818763363061145,5945,86,0.32452830188679244
-0.006383561747465105,6276,90,0.33962264150943394
-0.007388188662450007,6606,91,0.3433962264150943
-0.008325036632055055,6936,92,0.3471698113207547
-0.009069744733211434,7266,94,0.35471698113207545
-0.009798683315070124,7597,94,0.35471698113207545
-0.01055611485296881,7927,97,0.3660377358490566
-0.011262778388751872,8257,99,0.37358490566037733
-0.011886652907912002,8587,100,0.37735849056603776
-0.012548686346195511,8918,101,0.38113207547169814
-0.013172285153878057,9248,103,0.3886792452830189
-0.013839090651000283,9578,106,0.4
-0.01442390307745408,9908,107,0.4037735849056604
-0.01499781811516854,10239,108,0.4075471698113208
-0.015568053087148497,10569,110,0.41509433962264153
-0.016078012407852837,10899,110,0.41509433962264153
-0.01657715891856968,11230,110,0.41509433962264153
-0.01706214231122492,11560,110,0.41509433962264153
-0.01751529191234619,11890,114,0.43018867924528303
-0.01793572554360053,12220,116,0.4377358490566038
-0.018402862770906497,12551,116,0.4377358490566038
-0.01878169134452129,12881,117,0.44150943396226416
-0.019188724325036134,13211,119,0.4490566037735849
